feature,dim,alpha,ridge_r2,spearman_rho
RGB,4096,1000.0,0.45387065410614014,0.6825916294971194
GT depth,1024,1000.0,0.12544399499893188,0.3565988441042994
RGB + GT depth,5120,1000.0,0.47812265157699585,0.7005010606713672
RGB + Model 1,5120,1000.0,0.45410245656967163,0.6835352919114087
RGB + Model 2,5120,1000.0,0.519524335861206,0.7264078265864706
RGB + Model 3,5120,1000.0,0.4571725130081177,0.6844401831930016
RGB + Model 4,5120,1000.0,0.4811209440231323,0.7001528362559926
RGB + Model 5,5120,1000.0,0.454537570476532,0.6832369116365663
RGB + Model 6.1,5120,1000.0,0.5195051431655884,0.7248637965587044
RGB + Model 7.1,5120,1000.0,0.4763859510421753,0.6962045338462333
